Código,Descripción,Referencia,Ud Medida,Grupo,Udad de Negocio,Proveedor,Ult Precio,Ult Costo,Precio Elite,Precio publico,%IVA,Margen,Codigo de barra,Diseño,Sub-Grupo,LINEA,UNIDAD REFERENCIADA,PRINCIPIO ACTIVO,categoria padre-hijo,descripcion (Notas Internas),nuevo iva,Unidad de Costo,Unidad de Medida,Nueva referencia producto,referencia producto - primera vez,referencia producto - segunda vez
34ZOETG07P2670,ADVOCIN 180 * 50 ML,2670,UNIDAD,ANTIMICROBIANOS,GANADERIA,ZOETIS COLOMBIA S.A.S,0,0,,,0,0,34ZOETG07P2670,MILILITROS,ANTIBIOTICO,GANADERIA,INYECTABLE * 50ML,DANOFLOXACINA,ANTIMICROBIANOS / ANTIBIOTICO,MILILITROS // INYECTABLE * 50ML,sin iva,Unidades,Unidades,2670,2670,2670
37INSMG20P2711,AGUA DESTILADA ESTERIL * 1000 ML,2711,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2711,UNIDAD,INSUMO,INSUMOS,SOLUCION,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // SOLUCION,sin iva,Unidades,Unidades,2711,2711,2711
37INSMG20P2712,AGUA DESTILADA ESTERIL * 500 ML,2712,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2712,UNIDAD,INSUMO,INSUMOS,SOLUCION,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // SOLUCION,sin iva,Unidades,Unidades,2712,2712,2712
37INSMG20P2713,AGUJA DES ISAVET 16 * 1,2713,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2713,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2713,2713,2713
37INSMG20P2714,"AGUJA DES ISAVET 16 * 1 1/2""",2714,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2714,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,sin iva,Unidades,Unidades,2714,2714,2714
37INSMG20P2715,"AGUJA DES ISAVET 16 * 1/2""",2715,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2715,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,sin iva,Unidades,Unidades,2715,2715,2715
37INSMG20P2716,AGUJA DES ISAVET 18 * 1 1/2,2716,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2716,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2716,2716,2716
37INSMG20P2717,"AGUJA DES ISAVET 18 * 1""",2717,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2717,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2717,2717,2717
37INSMG20P2718,AGUJA DES ISAVET 18 * 1/2,2718,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2718,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,IVA Ventas 19%,Unidades,Unidades,2718,2718,2718
37INSMG20P2719,"AGUJA DES ISAVET 20 * 1 1/2""",2719,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2719,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD,sin iva,Unidades,Unidades,2719,2719,2719
