Código,Descripción,Referencia,Ud Medida,Grupo,Udad de Negocio,Proveedor,Ult Precio,Ult Costo,Precio Elite,Precio publico,%IVA,Margen,Codigo de barra,Diseño,Sub-Grupo,LINEA,UNIDAD REFERENCIADA,PRINCIPIO ACTIVO,categoria padre-hijo,descripcion (Notas Internas)
28VALLG03P1640,ACIFLUX 500MG * 20 TABS,1640,UNIDAD,ANTIACIDOS-ANTIULCEROSOS,MASCOTAS,VALLECILLA B. Y VALLECILLA M. & CIA. S.C,0,0,,,0,0,28VALLG03P1640,TABLETA,PROTECTOR GASTRICO,MASCOTAS,TABLETAS * 20,SUCRALFATO,ANTIACIDOS-ANTIULCEROSOS / PROTECTOR GASTRICO,TABLETA // TABLETAS * 20
28VALLG03P1641,ACIFLUX SUSP. * 50 ML,1641,UNIDAD,ANTIACIDOS-ANTIULCEROSOS,MASCOTAS,VALLECILLA B. Y VALLECILLA M. & CIA. S.C,0,0,,,0,0,28VALLG03P1641,MILILITROS,PROTECTOR GASTRICO,MASCOTAS,SUSPENSIÓN * 50ML,SUCRALFATO,ANTIACIDOS-ANTIULCEROSOS / PROTECTOR GASTRICO,MILILITROS // SUSPENSIÓN * 50ML
25NOVAG27P1732,ACIVET GARRAFA * 4 LITROS,1732,UNIDAD,SUPLEMENTOS ALIMENTICIOS,AVICULTURA,NOVALFARM LTDA,0,0,,,0,20,25NOVAG27P1732,LITROS,SUPLEMENTOS ALMENTICIOS,AVICULTURA,SUSPENSIÓN*4LITROS,AC CITRICO- AC LACTICO- AC ACETICO- AC ASCORVICO ,SUPLEMENTOS ALIMENTICIOS / SUPLEMENTOS ALMENTICIOS,LITROS // SUSPENSIÓN*4LITROS
27PROCG19P1807,ADRENALINA * 20 ML,1807,UNIDAD,HORMONALES,MASCOTAS,PROCONVET SA,33348,26578,,,0,20.3,27PROCG19P180,MILILITROS,ANALEPTICO,MASCOTAS,INYECTABLE * 20ML,EPINEFRINA,HORMONALES / ANALEPTICO,MILILITROS // INYECTABLE * 20ML
34ZOETG07P2670,ADVOCIN 180 * 50 ML,2670,UNIDAD,ANTIMICROBIANOS,GANADERIA,ZOETIS COLOMBIA S.A.S,0,0,,,0,0,34ZOETG07P2670,MILILITROS,ANTIBIOTICO,GANADERIA,INYECTABLE * 50ML,DANOFLOXACINA,ANTIMICROBIANOS / ANTIBIOTICO,MILILITROS // INYECTABLE * 50ML
37INSMG20P2711,AGUA DESTILADA ESTERIL * 1000 ML,2711,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2711,UNIDAD,INSUMO,INSUMOS,SOLUCION,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // SOLUCION
37INSMG20P2712,AGUA DESTILADA ESTERIL * 500 ML,2712,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2712,UNIDAD,INSUMO,INSUMOS,SOLUCION,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // SOLUCION
37INSMG20P2713,AGUJA DES ISAVET 16 * 1,2713,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2713,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2714,"AGUJA DES ISAVET 16 * 1 1/2""",2714,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2714,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2715,"AGUJA DES ISAVET 16 * 1/2""",2715,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2715,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2716,AGUJA DES ISAVET 18 * 1 1/2,2716,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2716,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2717,"AGUJA DES ISAVET 18 * 1""",2717,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2717,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2718,AGUJA DES ISAVET 18 * 1/2,2718,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2718,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2719,"AGUJA DES ISAVET 20 * 1 1/2""",2719,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2719,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2720,"AGUJA DES ISAVET 20 * 1""",2720,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2720,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2721,"AGUJA DES ISAVET 20 * 1/2""",2721,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2721,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2722,"AGUJA DES ISAVET 21 * 1 1/2""",2722,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2722,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2723,"AGUJA DES ISAVET 23 * 1""",2723,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,19,0,37INSMG20P2723,UNIDAD,INSUMO,INSUMOS,UNIDAD,NO APLICA,INSUMOS MEDICOS / INSUMO,UNIDAD // UNIDAD
37INSMG20P2724,"AGUJA DURATEK ROUND 16 * 1 1/2""",2724,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2724,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA
37INSMG20P2725,"AGUJA DURATEK ROUND 16 * 1""",2725,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2725,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA
37INSMG20P2726,"AGUJA DURATEK ROUND 16 * 1/2""",2726,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2726,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA
37INSMG20P2727,AGUJA DURATEK ROUND HUB 18* 1 1/2,2727,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P272,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA
37INSMG20P2728,AGUJA DURATEK SQUARE HUB 18 * 1/2,2728,UNIDAD,INSUMOS MEDICOS,INSUMOS,INSMEVET S EN C,0,0,,,0,0,37INSMG20P2728,CAJA,INSUMO,INSUMOS,CAJA,NO APLICA,INSUMOS MEDICOS / INSUMO,CAJA // CAJA
